Field,Entity,Year,Records,Organization type,Method
1,21st Century Oncology,2016,2200000,healthcare,hacked
2,500px,2020,14870304,social networking,hacked
3,Accendo Insurance Co.,2020,175350,healthcare,poor security
4,Adobe Systems Incorporated,2013,152000000,tech,hacked
5,Adobe Inc.,2019,7500000,tech,poor security
6,Advocate Medical Group,2017,4000000,healthcare,lost / stolen media
7,AerServ (subsidiary of InMobi),2018,75000,advertising,hacked
8,"Affinity Health Plan, Inc.",2013,344579,healthcare,lost / stolen media
9,Airtel,2019,320000000,telecommunications,poor security
10,Air Canada,2018,20000,transport,hacked
11,TD Ameritrade,2005,200000,financial,lost / stolen media
12,Ancestry.com,2021,300000,web,poor security
13,Animal Jam,2020,46000000,gaming,hacked
14,"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,healthcare,hacked
15,Anthem Inc.,2021,80000000,healthcare,hacked
16,AOL,2021,92000000,web,"inside job, hacked"
17,AOL,2021,20000000,web,accidentally published
18,AOL,2014,2400000,web,hacked
19,"Apple, Inc./BlueToad",2021,12367232,"tech, retail",accidentally published
20,Apple,2021,275000,tech,hacked
21,Apple Health Medicaid,2021,91000,healthcare,poor security
22,Ashley Madison,2015,32000000,web,hacked
23,AT&T,2008,113000,telecoms,lost / stolen computer
24,AT&T,2010,114000,telecoms,hacked
25,Auction.co.kr,2008,18000000,web,hacked
26,Automatic Data Processing,2005,125000,financial,poor security
27,"AvMed, Inc.",2009,1220000,healthcare,lost / stolen computer
28,Bailey's Inc.,2015,250000,retail,hacked
29,The Bank of New York Mellon,2008,12500000,financial,lost / stolen media
30,Bank of America,2005,1200000,financial,lost / stolen media
31,Bell Canada,2017,1900000,telecoms,poor security
32,Bell Canada,2018,100000,telecoms,hacked
33,Benesse,2014,35040000,educational services,hacked
34,Betfair,2010,2300000,web,hacked
35,Bethesda Game Studios,2011,200000,gaming,hacked
36,Blank Media Games,2018,7633234,gaming,hacked
37,Blizzard Entertainment,2012,14000000,gaming,hacked
38,BlueCross BlueShield of Tennessee,2009,1023209,healthcare,lost / stolen media
39,BMO and Simplii,2018,90000,banking,poor security
40,2018 British Airways cyberattack,2018,500000,transport,hacked
41,California Department of Child Support Services,2012,800000,government,lost / stolen media
42,Canva,2019,140000000,web,hacked
43,Capcom,2020,350000,game,hacked
44,Capital One,2019,106000000,financial,unsecured S3 bucket
45,"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,financial,hacked
46,Cathay Pacific Airways,2018,9400000,transport,hacked
47,CareFirst BlueCross Blue Shield - Maryland,2015,1100000,healthcare,hacked
48,Central Coast Credit Union,2016,60000,financial,hacked
49,Central Hudson Gas & Electric,2013,110000,energy,hacked
50,CheckFree Corporation,2009,5000000,financial,hacked
51,CheckPeople,2020,56000000,background check,unknown
52,China Software Developer Network,2011,6000000,web,hacked
53,"Chinese gaming websites (three: Duowan, 7K7K, 178.com)",2011,10000000,web,hacked
54,Citigroup,2005,3900000,financial,lost / stolen media
55,Citigroup,2011,360083,financial,hacked
56,Citigroup,2013,150000,financial,poor security
57,City and Hackney Teaching Primary Care Trust,2007,160000,healthcare,lost / stolen media
58,Colorado government,2010,105470,healthcare,lost / stolen computer
59,Community Health Systems,2014,4500000,healthcare,hacked
60,Philippines Commission on Elections,2016,55000000,government,hacked
61,Compass Bank,2007,1000000,financial,inside job
62,Countrywide Financial Corp,2006,2600000,financial,inside job
63,Countrywide Financial Corp,2011,2500000,financial,inside job
64,Centers for Medicare & Medicaid Services,2018,75000,healthcare,hacked
65,Cox Communications,2016,40000,telecoms,hacked
66,"Crescent Health Inc., Walgreens",2013,100000,healthcare,lost / stolen computer
67,Dai Nippon Printing,2007,8637405,retail,inside job
68,"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",2008,8000000,financial,hacked
69,US Department of Homeland Security,2016,30000,government,poor security
70,Desjardins,2019,9700000,financial,inside job
71,Domino's Pizza (France),2014,600000,web,hacked
72,DoorDash,2019,4900000,web,hacked
73,UK Driving Standards Agency,2007,3000000,government,lost / stolen media
