Field,year,Year,State,Field,Individuals_Affected,Type_of_Breach,Method,Organizationtype,TypeofBreach,CoveredEntityType,IndividualsAffected
1,2009,2016,TX,1,1000,Theft,hacked,healthcare,Hacking/IT Incident,Healthcare Provider,151626
2,2009,2020,MO,2,1000,Theft,hacked,social networking,Hacking/IT Incident,Business Associate,1831
3,2009,2020,AK,3,501,Theft,poor security,healthcare,Hacking/IT Incident,Healthcare Provider,660
4,2009,2013,DC,4,3800,Loss,hacked,tech,Hacking/IT Incident,Health Plan,3000
5,2009,2019,CA,5,5257,Theft,poor security,tech,Hacking/IT Incident,Healthcare Provider,1100
6,2009,2017,CA,6,857,Theft,lost / stolen media,healthcare,Hacking/IT Incident,Business Associate,1290
7,2009,2018,CA,7,6145,Theft,hacked,advertising,Hacking/IT Incident,Healthcare Provider,
8,2009,2013,CA,8,952,Theft,lost / stolen media,healthcare,Hacking/IT Incident,Healthcare Provider,4831
9,2009,2019,CA,9,5166,Theft,poor security,telecommunications,Hacking/IT Incident,Healthcare Provider,505
10,2009,2018,CA,10,5900,Theft,hacked,transport,Hacking/IT Incident,Healthcare Provider,7038
11,2009,2005,PA,11,943,Theft,lost / stolen media,financial,Hacking/IT Incident,Healthcare Provider,3620000
12,2009,2021,TN,12,6400,Theft,poor security,web,Hacking/IT Incident,Healthcare Provider,2213597
13,2009,2020,NY,13,83000,Other,hacked,gaming,Hacking/IT Incident,Health Plan,1688
14,2009,2021,CA,14,596,Theft,hacked,healthcare,Hacking/IT Incident,Health Plan,3074
15,2009,2021,NC,15,2000,Hacking/IT Incident,hacked,healthcare,Hacking/IT Incident,Healthcare Provider,570
16,2009,2021,MI,16,10000,Theft,"inside job, hacked",web,Hacking/IT Incident,,2029
17,2009,2021,MI,17,646,Theft,accidentally published,web,Hacking/IT Incident,Healthcare Provider,6851
18,2009,2014,CA,18,610,Other,hacked,web,Hacking/IT Incident,Healthcare Provider,42372
19,2009,2021,MA,19,1860,Theft,accidentally published,"tech, retail",Hacking/IT Incident,Health Plan,
20,2009,2021,MA,20,1076,Theft,hacked,tech,Hacking/IT Incident,Health Plan,78800000
21,2009,2021,DC,21,3400,Theft,poor security,healthcare,Hacking/IT Incident,Healthcare Provider,1251
22,2009,2015,DC,22,15000,Theft,hacked,web,Hacking/IT Incident,,506
23,2009,2008,CA,23,15500,Theft,lost / stolen computer,telecoms,Hacking/IT Incident,Health Plan,50000
24,2009,2010,IL,24,2562,Theft,hacked,telecoms,Hacking/IT Incident,Healthcare Provider,2021
25,2009,2008,MI,25,10000,Theft,hacked,web,Hacking/IT Incident,Business Associate,7120
26,2009,2005,TX,26,3800,Loss,poor security,financial,Hacking/IT Incident,Healthcare Provider,1945
27,2009,2009,TX,27,900,Theft,lost / stolen computer,healthcare,Hacking/IT Incident,Health Plan,2743
28,2010,2015,MO,28,9309,Theft,hacked,retail,Hacking/IT Incident,Health Plan,1100000
29,2009,2008,IL,29,812,Theft,lost / stolen media,financial,Hacking/IT Incident,Health Plan,880
30,2010,2005,TX,30,689,Theft,lost / stolen media,financial,Hacking/IT Incident,Healthcare Provider,300000
31,2009,2017,CA,31,7300,Theft,poor security,telecoms,Hacking/IT Incident,Healthcare Provider,31677
32,2010,2018,IL,32,1300,Theft,hacked,telecoms,Hacking/IT Incident,,4067
33,2009,2014,UT,33,5700,Theft,hacked,educational services,Hacking/IT Incident,Business Associate,4100
34,2009,2010,NV,34,5103,Theft,hacked,web,Hacking/IT Incident,Business Associate,4125
35,2009,2011,AZ,35,1100,Theft,hacked,gaming,Hacking/IT Incident,Business Associate,4343
